date,state,fips,cases,deaths
21-01-20,Washington,53,1,0
22-01-20,Washington,53,1,0
23-01-20,Washington,53,1,0
24-01-20,Illinois,17,1,0
24-01-20,Washington,53,1,0
25-01-20,California,6,1,0
25-01-20,Illinois,17,1,0
25-01-20,Washington,53,1,0
26-01-20,Arizona,4,1,0
26-01-20,California,6,2,0
26-01-20,Illinois,17,1,0
26-01-20,Washington,53,1,0
27-01-20,Arizona,4,1,0
27-01-20,California,6,2,0
27-01-20,Illinois,17,1,0
27-01-20,Washington,53,1,0
28-01-20,Arizona,4,1,0
28-01-20,California,6,2,0
28-01-20,Illinois,17,1,0
28-01-20,Washington,53,1,0
29-01-20,Arizona,4,1,0
29-01-20,California,6,2,0
29-01-20,Illinois,17,1,0
29-01-20,Washington,53,1,0
30-01-20,Arizona,4,1,0
30-01-20,California,6,2,0
30-01-20,Illinois,17,2,0
30-01-20,Washington,53,1,0
31-01-20,Arizona,4,1,0
